cf,tidal
augu_51015,0
balt_24005,1
berk_54003,0
brad_42015,0
chen_36017,0
clea_42033,0
cumb_42041,0
glou_51073,1
hard_54031,0
lanc_42071,0
loud_51107,0
quee_24035,1
stau_51790,0
suss_10005,1
wayn_51820,0
wico_24045,1
acco_51001,1
adam_42001,0
albe_51003,0
alex_51510,1
alle_24001,0
alle_36003,0
alle_51005,0
amel_51007,0
amhe_51009,0
anne_24003,1
appo_51011,0
arli_51013,1
balt_24510,1
bath_51017,0
bedf_42009,0
bedf_51019,0
bedf_51515,0
berk_42011,0
blai_42013,0
bote_51023,0
broo_36007,0
buck_51029,0
buen_51530,0
calv_24009,1
camb_42021,0
came_42023,0
camp_51031,0
carb_42025,0
caro_24011,1
caro_51033,1
carr_24013,0
cayu_36011,0
ceci_24015,1
cent_42027,0
char_24017,1
char_51036,1
char_51037,0
char_51540,0
chem_36015,0
ches_42029,0
ches_51041,1
ches_51550,1
clar_51043,0
clin_42035,0
colo_51570,1
colu_42037,0
cort_36023,0
covi_51580,0
crai_51045,0
culp_51047,0
cumb_51049,0
daup_42043,0
dela_36025,0
dinw_51053,0
wash_11001,1
dorc_24019,1
elk_42047,0
esse_51057,1
fair_51059,1
fair_51600,0
fall_51610,0
fauq_51061,0
fluv_51065,0
fran_42055,0
fred_24021,0
fred_51069,0
fred_51630,1
fult_42057,0
garr_24023,0
gile_51071,0
gooc_51075,0
gran_54023,0
gree_51079,0
gree_54025,0
hamp_51650,1
hamp_54027,0
hano_51085,1
harf_24025,1
harr_51660,0
henr_51087,1
herk_36043,0
high_51091,0
hope_51670,1
howa_24027,0
hunt_42061,0
indi_42063,0
isle_51093,1
jame_51095,1
jeff_42065,0
jeff_54037,0
juni_42067,0
kent_10001,1
kent_24029,1
king_51097,1
king_51099,1
king_51101,1
lack_42069,0
lanc_51103,1
leba_42075,0
lexi_51678,0
livi_36051,0
loui_51109,0
lune_51111,0
luze_42079,0
lyco_42081,0
lync_51680,0
madi_36053,0
madi_51113,0
mana_51683,0
mana_51685,0
math_51115,1
mcke_42083,0
midd_51119,1
miff_42087,0
mine_54057,0
monr_54063,0
mont_24031,1
mont_42093,0
mont_51121,0
morg_54065,0
nels_51125,0
newc_10003,1
newk_51127,1
newp_51700,1
norf_51710,1
nort_42097,0
nort_51131,1
nort_51133,1
nott_51135,0
onei_36065,0
onon_36067,0
onta_36069,0
oran_51137,0
otse_36077,0
page_51139,0
pend_54071,0
perr_42099,0
pete_51730,1
poca_54075,0
poqu_51735,1
port_51740,1
pott_42105,0
powh_51145,0
pres_54077,0
prin_24033,1
prin_51147,0
prin_51149,1
prin_51153,1
rand_54083,0
rapp_51157,0
rich_51159,1
rich_51760,1
roan_51161,0
roan_51770,0
rock_51163,0
rock_51165,0
sale_51775,0
scho_36095,0
schu_36097,0
schu_42107,0
shen_51171,0
snyd_42109,0
some_24039,1
some_42111,0
spot_51177,1
staf_51179,1
steu_36101,0
stma_24037,1
suff_51800,1
sull_42113,0
surr_51181,1
susq_42115,0
talb_24041,1
tiog_36107,0
tiog_42117,0
tomp_36109,0
tuck_54093,0
unio_42119,0
virg_51810,1
warr_51187,0
wash_24043,0
wayn_42127,0
west_51193,1
will_51830,1
winc_51840,0
worc_24047,1
wyom_42131,0
yate_36123,0
york_42133,0
york_51199,1
